Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,-9999
1,Justin Abdelkader,31,DET,LW,71,782,918,46.0,-2.8,571,716,44.4,-3.9,6.7,91.7,98.5,42.9,57.1,15:23,12:54,9,40,-11.0,159,59.7,abdelju01
2,Pontus Åberg,25,TOT,LW,59,722,681,51.5,3.3,521,525,49.8,1.4,7.8,88.6,96.4,56.2,43.8,14:36,12:31,15,36,-0.3,,,abergpo01
2,Pontus Åberg,25,ANA,LW,37,511,449,53.2,7.4,360,351,50.6,4.9,9.4,86.6,96.0,56.9,43.1,15:37,13:32,13,31,-0.4,153,48.4,abergpo01
2,Pontus Åberg,25,MIN,LW,22,211,232,47.6,-4.1,161,174,48.1,-4.5,4.3,92.4,96.7,54.5,45.5,12:52,10:48,2,5,0.1,58,46.6,abergpo01
3,Vitaly Abramov,20,OTT,RW,1,9,13,40.9,-1.8,4,9,30.8,-11.3,0.0,75.0,75.0,100.0,0.0,13:52,13:01,4,2,-0.8,5,0.0,abramvi01
4,Noel Acciari,27,BOS,C,72,717,721,49.9,-4.1,574,526,52.2,-2.0,5.5,93.1,98.5,34.3,65.7,12:59,11:23,35,13,2.6,159,62.3,acciano01
5,Kenny Agostino,26,TOT,LW,63,712,623,53.3,3.8,521,472,52.5,3.5,7.7,91.0,98.7,55.3,44.7,12:55,11:36,25,30,-0.7,,,agostke01
5,Kenny Agostino,26,MTL,LW,36,390,297,56.8,3.5,265,227,53.9,1.1,7.0,91.7,98.6,59.2,40.8,11:11,10:12,11,10,-0.5,69,55.1,agostke01
5,Kenny Agostino,26,NJD,LW,27,322,326,49.7,6.6,256,245,51.1,8.4,8.5,90.3,98.9,51.7,48.3,15:13,13:27,14,20,-0.1,75,54.7,agostke01
6,Andrew Agozzino,28,COL,LW,11,64,78,45.1,-2.1,54,56,49.1,1.3,7.0,97.6,104.6,52.9,47.1,7:48,7:16,1,4,0.1,14,78.6,agozzan01
7,Sebastian Aho,21,CAR,C,82,1556,1164,57.2,3.4,1191,872,57.7,4.2,10.0,90.7,100.7,59.2,40.8,20:09,16:03,81,64,20.8,466,52.1,ahose01
8,Mark Alt,27,COL,D,2,17,15,53.1,8.4,13,10,56.5,8.5,0.0,100.0,100.0,100.0,0.0,9:55,9:30,0,0,0.5,4,50.0,altma01
9,Karl Alzner,30,MTL,D,9,129,120,51.8,-3.5,83,89,48.3,-4.1,6.8,95.5,102.3,52.7,47.3,17:18,15:08,1,6,-0.8,19,42.1,alzneka01
10,Michael Amadio,22,LAK,C,43,395,380,51.0,2.0,280,286,49.5,0.4,10.7,89.8,100.5,59.2,40.8,10:12,9:33,19,13,-2.5,83,44.6,amadimi01
11,Joey Anderson,20,NJD,RW,34,337,365,48.0,1.6,260,276,48.5,1.8,5.5,89.2,94.7,41.2,58.8,12:54,11:17,12,3,-0.3,72,68.1,anderjo08
12,Josh Anderson,24,CBJ,RW,82,1129,1136,49.8,-0.4,854,861,49.8,-1.7,10.6,93.4,103.9,46.4,53.6,17:01,14:19,46,19,4.0,383,60.1,anderjo05
13,Jaret Anderson-Dolan,19,LAK,C,5,42,53,44.2,-8.6,27,41,39.7,-14.6,9.5,88.2,97.8,47.6,52.4,11:36,9:49,2,2,-1.0,10,60.0,anderja01
14,Lias Andersson,20,NYR,C,42,321,434,42.5,-3.1,249,320,43.8,-1.8,4.9,89.9,94.8,44.7,55.3,10:43,10:00,14,12,-6.7,63,65.1,anderli01
