Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,-9999
1,Noel Acciari,32,PIT,C,55,462,692,40.0,-14.8,335,483,41.0,-12.7,7.7,92.0,99.7,14.0,86.0,12:58,10:38,26,8,-8.0,100,59.0,acciano01
2,Calen Addison,23,TOT,D,72,982,1204,44.9,0.8,674,857,44.0,0.2,7.0,89.2,96.3,54.1,45.9,17:16,14:50,18,14,-21.2,221,42.1,addisca01
2,Calen Addison,23,SJS,D,60,817,1051,43.7,0.5,562,752,42.8,-0.2,5.7,89.7,95.5,53.3,46.7,17:21,15:17,17,14,-19.9,169,44.4,addisca01
2,Calen Addison,23,MIN,D,12,165,153,51.9,3.4,112,105,51.6,3.8,13.3,85.9,99.2,59.3,40.7,16:48,12:35,1,0,-1.4,52,34.6,addisca01
3,Egor Afanasyev,23,NSH,LW,2,24,31,43.6,3.7,19,20,48.7,11.7,0.0,93.3,93.3,53.3,46.7,12:60,11:34,0,1,-1.1,6,83.3,afanaeg01
4,Sebastian Aho,26,CAR,F,78,1391,996,58.3,-1.6,1008,757,57.1,-1.7,12.4,91.2,103.5,61.5,38.5,19:38,14:58,50,57,7.9,400,54.0,ahose01
5,Sebastian Aho,27,NYI,D,58,829,907,47.8,-0.2,616,640,49.0,0.2,5.9,92.5,98.4,65.3,34.7,16:23,15:01,7,14,5.0,124,38.7,ahose02
6,Nikita Alexandrov,23,STL,C,23,151,171,46.9,0.5,95,125,43.2,-3.5,7.6,90.6,98.2,52.6,47.4,8:32,8:31,5,5,-4.8,25,60.0,alexani01
7,Alexander Alexeyev,24,WSH,D,39,419,491,46.0,1.1,282,326,46.4,0.8,7.9,89.4,97.3,48.9,51.1,13:42,13:11,4,12,-2.1,60,33.3,alexeal01
8,Michael Amadio,27,VEG,C,73,928,938,49.7,0.9,640,624,50.6,1.1,9.1,91.3,100.4,52.8,47.2,13:24,12:23,33,25,7.7,191,61.3,amadimi01
9,Nils Åman,23,VAN,C,43,298,336,47.0,-5.0,206,234,46.8,-5.0,7.3,91.4,98.7,55.9,44.1,10:20,8:51,7,4,-0.6,44,63.6,amanni01
10,Joey Anderson,25,CHI,RW,55,560,619,47.5,4.6,379,424,47.2,4.8,10.6,91.6,102.2,38.2,61.8,13:33,12:27,30,20,-2.6,106,53.8,anderjo08
11,Josh Anderson,29,MTL,RW,78,961,1214,44.2,-2.3,678,846,44.5,-2.5,9.2,90.9,100.1,41.5,58.5,15:28,13:37,21,20,-11.7,277,50.9,anderjo05
