Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,-9999
1,Connor Hellebuyck,26,WPG,G,58,56,31,21,5,140,1796,1656,.922,2.57,6,3268:33,36,.643,6,86,22.4,2.74,12.5,0,2,2,0,ASGASnhl-1Byng-21Hart-6Vezina-1,helleco01
2,Carey Price,32,MTL,G,58,58,27,25,6,160,1755,1595,.909,2.79,4,3439:49,31,.534,11,101,-1.3,2.97,9.8,0,0,0,6,ASnhl-8,priceca01
3,Frederik Andersen,30,TOR,G,52,52,29,13,7,143,1577,1434,.909,2.85,3,3006:40,27,.519,8,100,-0.4,3.03,8.9,0,0,0,0,ASGASnhl-12,anderfr01
4,Andrei Vasilevskiy,25,TBL,G,52,52,35,14,3,133,1605,1472,.917,2.56,3,3121:54,31,.596,7,92,12.1,2.71,10.4,0,4,4,4,ASGASnhl-3Vezina-3,vasilan02
5,John Gibson,26,ANA,G,51,51,20,26,5,149,1552,1403,.904,3.00,1,2981:17,22,.431,10,106,-8.7,3.20,7.8,0,0,0,6,,gibsojo02
6,Jordan Binnington,26,STL,G,50,50,30,13,7,126,1430,1304,.912,2.56,3,2947:41,28,.560,5,97,3.3,2.73,8.4,0,1,1,4,ASGASnhl-7Vezina-7,binnijo01
7,Sergei Bobrovsky,31,FLA,G,50,49,23,19,6,151,1505,1354,.900,3.23,1,2805:59,20,.408,10,111,-14.9,3.44,6.9,0,0,0,0,,bobrose01
8,Marc-André Fleury,35,VEG,G,49,48,27,16,5,133,1399,1266,.905,2.77,5,2880:06,24,.500,9,105,-6.5,2.96,7.2,0,0,0,8,Byng-19,fleurma01
9,Braden Holtby,30,WSH,G,48,47,25,14,6,142,1385,1243,.897,3.11,0,2743:10,22,.468,11,113,-16.8,3.32,6.0,0,1,1,4,ASGByng-28,holtbbr01
10,David Rittich,27,CGY,G,48,48,24,17,6,138,1478,1340,.907,2.97,2,2791:58,24,.500,7,103,-4.4,3.16,7.9,0,1,1,6,ASG,rittida01
11,Mackenzie Blackwood,23,NJD,G,47,43,22,14,8,124,1452,1328,.915,2.77,3,2684:01,22,.512,6,94,7.3,2.95,9.0,0,1,1,0,ASnhl-12Calder-6,blackma01
12,Jonathan Bernier,31,DET,G,46,41,15,22,3,126,1353,1227,.907,2.95,1,2565:56,17,.415,5,103,-3.7,3.13,7.2,0,3,3,4,,bernijo01
13,Semyon Varlamov,31,NYI,G,45,39,19,14,6,110,1278,1168,.914,2.62,2,2517:19,21,.538,4,95,5.6,2.79,7.8,0,0,0,0,,varlasi01
14,Ben Bishop,33,DAL,G,44,43,21,16,4,103,1286,1183,.920,2.50,2,2473:49,27,.628,5,89,13.3,2.64,8.7,0,2,2,2,ASnhl-4,bishobe01
15,Carter Hart,21,PHI,G,43,40,24,13,3,95,1100,1005,.914,2.42,1,2355:50,25,.625,9,96,4.5,2.57,6.7,0,0,0,0,ASnhl-9,hartca01
16,Jacob Markström,30,VAN,G,43,43,23,16,4,117,1420,1303,.918,2.75,2,2551:53,25,.581,5,91,11.4,2.92,9.2,0,1,1,4,ASGASnhl-5Hart-15Vezina-4,marksja02
17,Jonathan Quick,34,LAK,G,42,42,16,22,4,117,1224,1107,.904,2.79,1,2516:14,21,.500,5,106,-6.3,2.98,6.2,0,1,1,0,,quickjo01
18,Martin Jones,30,SJS,G,41,40,17,21,2,118,1139,1021,.896,3.00,2,2359:50,15,.375,11,115,-15.0,3.20,4.8,0,1,1,0,,jonesma02
19,Tuukka Rask,32,BOS,G,41,41,26,8,6,85,1189,1104,.929,2.12,5,2401:47,28,.683,3,79,22.5,2.25,9.1,0,2,2,0,ASnhl-2Jennings-1Vezina-2,rasktu01
20,Corey Crawford,35,CHI,G,40,39,16,20,3,108,1294,1186,.917,2.77,1,2340:03,25,.641,3,92,9.0,2.95,8.3,0,0,0,0,ASnhl-12,crawfco01
21,Petr Mrázek,27,CAR,G,40,38,21,16,2,104,1091,987,.905,2.69,3,2320:59,19,.500,7,105,-5.3,2.87,5.6,0,0,0,4,,mrazepe01
22,Juuse Saros,24,NSH,G,40,34,17,12,4,98,1142,1044,.914,2.70,4,2176:50,21,.618,3,95,5.3,2.87,7.0,0,0,0,0,,sarosju01
23,Mike Smith,37,EDM,G,39,37,19,12,6,106,1087,981,.902,2.95,1,2156:51,17,.459,9,108,-7.7,3.14,5.3,0,2,2,21,,smithmi01
24,Mikko Koskinen,31,EDM,G,38,34,18,13,3,97,1175,1078,.917,2.75,1,2116:31,17,.500,5,91,9.2,2.92,7.6,0,0,0,0,,koskimi01
25,Matt Murray,25,PIT,G,38,38,20,11,5,107,1055,948,.899,2.87,1,2237:30,16,.421,8,112,-11.6,3.06,4.7,0,1,1,2,,murrama02
26,Alex Stalock,32,MIN,G,38,36,20,11,4,97,1082,985,.910,2.67,4,2177:21,19,.528,5,99,0.8,2.84,6.2,0,1,1,4,,staloal01
27,Joonas Korpisalo,25,CBJ,G,37,35,19,12,5,92,1030,938,.911,2.60,2,2125:54,21,.600,5,99,1.1,2.77,5.9,0,1,1,0,,korpijo01
28,Philipp Grubauer,28,COL,G,36,36,18,12,4,90,1067,977,.916,2.63,2,2057:06,17,.472,4,93,6.5,2.80,6.7,0,0,0,0,,grubaph01
29,Pekka Rinne,37,NSH,G,36,35,18,14,4,105,1004,899,.895,3.17,3,1987:46,16,.457,11,116,-14.2,3.38,4.1,1,2,3,0,,rinnepe01
30,Robin Lehner,28,2TM,G,36,34,19,10,5,99,1235,1136,.920,2.89,1,2055:28,19,.559,4,89,12.7,3.06,8.3,0,0,0,4,Vezina-6,lehnero01
30,Robin Lehner,28,CHI,G,33,31,16,10,5,94,1152,1058,.918,3.01,0,1875:28,17,.548,4,90,10.2,3.20,7.6,0,0,0,4,,lehnero01
30,Robin Lehner,28,VEG,G,3,3,3,0,0,5,83,78,.940,1.67,1,180:00,2,.667,0,67,2.5,1.67,0.7,0,0,0,0,,lehnero01
31,Craig Anderson,38,OTT,G,34,31,11,17,2,100,1018,918,.902,3.25,0,1845:11,14,.452,7,109,-7.9,3.48,4.9,0,1,1,0,,andercr01
32,Pavel Francouz,29,COL,G,34,31,21,7,4,77,996,919,.923,2.41,1,1914:26,17,.548,5,85,13.1,2.57,7.0,0,0,0,2,ASnhl-12,francpa01
33,Alexandar Georgiev,23,NYR,G,34,32,17,14,2,96,1063,967,.910,3.04,2,1891:44,17,.531,5,100,0.1,3.24,6.0,0,1,1,0,,georgal01
34,Linus Ullmark,26,BUF,G,34,34,17,14,3,91,1066,975,.915,2.69,1,2026:38,19,.559,2,94,5.4,2.87,6.6,0,0,0,4,,ullmali01
35,Aaron Dell,30,SJS,G,33,30,12,15,3,92,986,894,.907,3.01,0,1834:14,15,.500,5,103,-2.8,3.21,5.3,0,0,0,0,,dellaa01
36,Tristan Jarry,24,PIT,G,33,31,20,12,1,78,985,907,.921,2.43,3,1926:29,19,.613,3,88,11.1,2.59,6.7,0,0,0,0,ASGASnhl-9Hart-17Vezina-7,jarrytr01
37,Elvis Merzļikins,25,CBJ,G,33,31,13,9,8,71,919,848,.923,2.35,5,1815:08,17,.548,3,85,12.1,2.48,6.5,0,0,0,0,ASnhl-9AR-1Calder-5Vezina-5,merzlel01
38,Antti Raanta,30,ARI,G,33,32,15,14,3,80,1014,934,.921,2.63,2,1822:54,19,.594,3,87,11.7,2.80,7.0,0,0,0,2,,raantan01
39,Brian Elliott,34,PHI,G,31,27,16,7,4,80,796,716,.899,2.87,2,1673:54,14,.519,8,111,-8.0,3.05,3.6,0,1,1,2,,elliobr01
40,Thomas Greiss,34,NYI,G,31,29,16,9,4,73,838,765,.913,2.74,0,1595:56,15,.517,5,96,2.8,2.93,5.0,0,0,0,2,,greisth01
41,Jaroslav Halák,34,BOS,G,31,29,18,6,6,73,905,832,.919,2.39,3,1833:22,18,.621,3,89,8.8,2.55,6.1,0,2,2,0,Jennings-1,halakja01
42,Carter Hutton,34,BUF,G,31,30,12,14,4,94,918,824,.898,3.18,2,1775:26,14,.467,7,113,-11.0,3.38,4.0,0,1,1,6,,huttoca01
43,Devan Dubnyk,33,MIN,G,30,28,12,15,2,93,849,756,.890,3.35,1,1664:39,9,.321,5,121,-16.2,3.57,3.1,0,0,0,2,,dubnyde01
44,Anton Khudobin,33,DAL,G,30,26,16,8,4,62,882,820,.930,2.22,0,1677:29,19,.731,2,78,17.8,2.36,6.9,0,3,3,4,ASnhl-12,khudoan01
45,Henrik Lundqvist,37,NYR,G,30,26,10,12,3,84,883,799,.905,3.16,1,1596:44,13,.500,4,105,-4.2,3.38,4.5,0,1,1,2,,lundqhe01
46,Darcy Kuemper,29,ARI,G,29,29,16,11,2,65,903,838,.928,2.22,2,1753:24,22,.759,2,80,16.7,2.36,6.9,0,0,0,6,ASnhl-6Vezina-7,kuempda01
47,Thatcher Demko,24,VAN,G,27,25,13,10,2,78,822,744,.905,3.06,0,1529:03,15,.600,5,105,-3.7,3.26,4.2,0,0,0,0,,demkoth01
48,Jimmy Howard,35,DET,G,27,27,2,23,2,96,817,721,.882,4.20,0,1371:34,7,.259,9,130,-22.1,4.51,2.2,0,0,0,0,,howarja02
49,Ilya Samsonov,22,WSH,G,26,22,16,6,2,60,689,629,.913,2.55,1,1411:02,13,.591,2,96,2.3,2.72,4.1,0,0,0,2,Calder-12,samsoil01
50,Cam Talbot,32,CGY,G,26,22,12,10,1,63,780,717,.919,2.63,2,1434:39,11,.500,2,89,7.5,2.80,5.2,0,0,0,21,,talboca01
51,Jack Campbell,28,2TM,G,26,26,11,12,3,73,761,688,.904,2.80,0,1566:59,11,.423,4,106,-4.2,2.99,3.8,0,0,0,0,,campbja01
51,Jack Campbell,28,LAK,G,20,20,8,10,2,57,572,515,.900,2.85,0,1201:38,7,.350,4,110,-5.3,3.05,2.7,0,0,0,0,,campbja01
51,Jack Campbell,28,TOR,G,6,6,3,2,1,16,189,173,.915,2.63,0,365:21,4,.667,0,94,1.1,2.79,1.2,0,0,0,0,,campbja01
52,James Reimer,31,CAR,G,25,24,14,6,2,61,712,651,.914,2.66,3,1378:01,15,.625,6,95,3.4,2.83,4.4,0,0,0,2,,reimeja01
53,Jake Allen,29,STL,G,24,21,12,6,3,48,655,607,.927,2.15,2,1339:04,14,.667,2,81,11.2,2.29,4.9,0,0,0,0,,allenja01
54,Marcus Högberg,25,OTT,G,24,21,5,8,8,70,728,658,.904,3.12,0,1344:33,10,.476,3,106,-4.2,3.35,3.7,0,0,0,0,,hogbema01
55,Ryan Miller,39,ANA,G,23,19,9,6,4,64,685,621,.907,3.10,0,1238:14,11,.579,2,103,-2.1,3.30,3.6,0,1,1,0,,millery01
56,Malcolm Subban,26,2TM,G,21,19,9,7,3,60,546,486,.890,3.17,0,1134:15,7,.368,7,122,-10.6,3.39,1.9,0,0,0,0,,subbama01
56,Malcolm Subban,26,VEG,G,20,19,9,7,3,60,546,486,.890,3.18,0,1133:05,7,.368,7,122,-10.6,3.39,1.9,0,0,0,0,,subbama01
56,Malcolm Subban,26,CHI,G,1,0,0,0,0,0,0,0,,.00,0,1:10,0,,0,,0.0,.00,0.0,0,0,0,0,,subbama01
57,Anders Nilsson,29,OTT,G,20,19,9,9,2,58,628,570,.908,3.18,0,1093:16,11,.579,5,102,-1.2,3.40,3.4,0,0,0,0,,nilssan01
58,Laurent Brossoit,26,WPG,G,19,15,6,7,1,54,512,458,.895,3.28,0,987:53,7,.467,1,117,-7.7,3.52,2.1,0,0,0,0,,brossla01
59,Curtis McElhinney,36,TBL,G,18,18,8,7,3,52,551,499,.906,2.89,1,1080:56,8,.444,2,104,-2.2,3.05,2.9,0,0,0,0,,mcelhcu01
60,Louis Domingue,27,2TM,G,17,15,3,9,2,51,433,382,.882,3.81,0,802:19,4,.267,5,130,-11.8,4.04,1.2,0,0,0,0,,dominlo01
60,Louis Domingue,27,NJD,G,16,14,3,8,2,47,399,352,.882,3.79,0,743:32,4,.286,5,130,-10.9,4.03,1.1,0,0,0,0,,dominlo01
60,Louis Domingue,27,VAN,G,1,1,0,1,0,4,34,30,.882,4.08,0,58:47,0,.000,0,130,-0.9,4.08,0.1,0,0,0,0,,dominlo01
61,Michael Hutchinson,29,2TM,G,16,12,5,9,1,49,439,390,.888,3.47,1,847:01,4,.333,0,123,-9.3,3.68,1.5,0,0,0,0,,hutchmi01
61,Michael Hutchinson,29,TOR,G,15,11,4,9,1,48,421,373,.886,3.66,1,787:01,3,.273,0,126,-9.9,3.89,1.3,0,0,0,0,,hutchmi01
61,Michael Hutchinson,29,COL,G,1,1,1,0,0,1,18,17,.944,1.00,0,60:00,1,1.000,0,61,0.6,1.00,0.2,0,0,0,0,,hutchmi01
62,Sam Montembeault,23,FLA,G,14,9,5,5,1,39,356,317,.890,3.34,0,700:45,3,.333,2,121,-6.8,3.60,1.3,0,0,0,0,,montesa01
63,Adin Hill,23,ARI,G,13,9,2,4,3,28,343,315,.918,2.62,0,640:46,5,.556,0,90,3.0,2.81,2.3,0,0,0,2,,hillad01
64,Cory Schneider,33,NJD,G,13,11,3,6,2,40,355,315,.887,3.53,1,679:16,3,.273,3,125,-7.9,3.80,1.2,0,1,1,0,,schneco01
65,Chris Driedger,25,FLA,G,12,11,7,2,1,22,354,332,.938,2.05,1,642:40,8,.727,0,69,10.0,2.15,3.1,0,0,0,0,,driedch01
66,Igor Shesterkin,24,NYR,G,12,12,10,2,0,29,424,395,.932,2.52,0,691:35,9,.750,1,76,9.3,2.69,3.4,0,0,0,0,,shestig01
67,Calvin Petersen,25,LAK,G,8,8,5,3,0,21,269,248,.922,2.64,0,477:22,5,.625,0,86,3.3,2.77,1.9,0,0,0,0,,peterca01
68,Jonas Johansson,24,BUF,G,6,5,1,3,1,16,151,135,.894,2.94,0,326:44,1,.200,0,117,-2.3,3.12,0.6,0,0,0,0,,johanjo03
69,Keith Kinkaid,30,MTL,G,6,5,1,1,3,24,192,168,.875,4.24,0,339:59,0,.000,0,138,-6.6,4.59,0.4,0,0,0,0,,kinkake01
70,Matiss Kivlenieks,23,CBJ,G,6,4,1,1,2,14,137,123,.898,2.95,0,284:50,2,.500,0,113,-1.6,3.16,0.6,0,0,0,0,,kivlema01
71,Charlie Lindgren,26,MTL,G,6,6,2,4,0,20,178,158,.888,3.33,0,360:51,1,.167,1,124,-3.9,3.49,0.6,0,0,0,0,,lindgch01
72,Kaapo Kähkönen,23,MIN,G,5,5,3,1,1,15,172,157,.913,2.96,0,304:12,3,.600,2,96,0.6,3.16,1.0,0,0,0,0,,kahkoka01
73,Alex Nedeljkovic,24,CAR,G,4,3,1,2,1,11,97,86,.887,3.05,0,216:19,1,.333,1,125,-2.2,3.33,0.3,0,0,0,0,,nedelal01
74,Eric Comrie,24,DET,G,3,2,0,2,0,9,66,57,.864,4.28,0,126:15,0,.000,1,151,-3.0,4.75,0.0,0,0,0,0,,comrier01
75,Anton Forsberg,27,CAR,G,3,3,1,1,0,8,78,70,.897,3.35,0,143:09,1,.333,0,113,-0.9,3.77,0.3,0,0,0,0,,forsban01
76,Alex Lyon,27,PHI,G,3,2,1,1,0,8,73,65,.890,3.55,0,135:19,0,.000,0,121,-1.4,3.99,0.3,0,0,0,0,,lyonal01
77,Calvin Pickard,27,DET,G,3,1,0,2,0,15,74,59,.797,5.46,0,164:53,0,.000,1,224,-8.3,5.82,-0.5,0,0,0,0,,pickaca01
78,Antoine Bibeau,25,COL,G,2,1,1,0,0,5,42,37,.881,3.27,0,91:45,0,.000,0,132,-1.2,3.27,0.1,0,0,0,0,,bibeaan01
79,Cayden Primeau,20,MTL,G,2,2,1,1,0,5,72,67,.931,2.52,0,119:06,2,1.000,0,77,1.5,2.52,0.6,0,0,0,0,,primeca01
80,Gilles Senn,23,NJD,G,2,1,0,1,0,4,41,37,.902,3.42,0,70:05,1,1.000,0,108,-0.3,3.42,0.2,0,0,0,0,,senngi01
81,Adam Werner,22,COL,G,2,1,1,1,0,5,58,53,.914,3.42,0,87:50,0,.000,1,95,0.2,3.42,0.4,0,0,0,0,,wernead01
82,David Ayres,42,CAR,G,1,0,1,0,0,2,10,8,.800,4.18,0,28:41,0,,0,221,-1.1,4.18,-0.1,0,0,0,0,,ayresda01
83,Oscar Dansk,25,VEG,G,1,1,0,1,0,6,37,31,.838,6.00,0,60:00,0,.000,1,179,-2.7,6.00,-0.1,0,0,0,0,,danskos01
84,Michael DiPietro,20,VAN,G,1,0,0,0,0,1,7,6,.857,7.16,0,8:23,0,,0,158,-0.4,7.16,0.0,0,0,0,0,,dipiemi01
85,Kasimir Kaskisuo,26,TOR,G,1,1,0,1,0,6,38,32,.842,6.00,0,60:00,0,.000,1,175,-2.6,6.00,-0.1,0,0,0,0,,kaskika01
86,Garret Sparks,26,VEG,G,1,0,0,0,0,2,14,12,.857,4.38,0,27:24,0,,0,158,-0.7,4.38,0.0,0,0,0,0,,sparkga01
87,Anthony Stolarz,26,ANA,G,1,1,0,1,0,2,36,34,.944,2.05,0,58:33,1,1.000,0,61,1.3,2.05,0.3,0,0,0,0,,stolaan01
