,Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards
0,1,Devan Dubnyk,32.0,MIN,G,67,66,31,28,6,163,1877,1714,0.913,2.54,2,3855:16,38,0.576,13,96.0,6.2,2.69,11.1,0,2,2,2,ASG
1,2,Carey Price,31.0,MTL,G,66,64,35,24,6,161,1952,1791,0.918,2.49,4,3880:15,37,0.578,6,92.0,14.9,2.64,12.5,0,1,1,2,ASnhl-3Vezina-7
2,3,Connor Hellebuyck,25.0,WPG,G,63,62,34,23,3,179,2051,1872,0.913,2.9,2,3704:06,28,0.452,6,97.0,5.9,3.09,12.1,0,3,3,4,
3,4,Sergei Bobrovsky,30.0,CBJ,G,62,61,37,24,1,153,1756,1603,0.913,2.58,9,3556:40,31,0.508,13,97.0,5.3,2.75,10.4,0,0,0,2,ASnhl-11Vezina-9
4,5,Martin Jones,29.0,SJS,G,62,62,36,19,5,176,1699,1523,0.896,2.94,3,3597:13,27,0.435,14,115.0,-22.9,3.14,7.0,0,1,1,2,
5,6,Marc-André Fleury,34.0,VEG,G,61,61,35,21,5,152,1745,1593,0.913,2.51,8,3635:08,34,0.557,7,97.0,5.3,2.67,10.3,0,2,2,4,ASGASnhl-5Byng-32Hart-17Vezina-4
6,7,Frederik Andersen,29.0,TOR,G,60,60,36,16,7,162,1958,1796,0.917,2.77,1,3510:15,38,0.633,7,92.0,14.5,2.96,12.5,0,1,1,2,ASnhl-7Vezina-10
7,8,Jacob Markström,29.0,VAN,G,60,60,28,23,9,166,1896,1730,0.912,2.77,1,3599:01,34,0.567,7,97.0,4.9,2.95,11.1,0,3,3,2,Vezina-10
8,9,Braden Holtby,29.0,WSH,G,59,58,32,19,5,160,1795,1635,0.911,2.82,3,3406:34,33,0.569,9,99.0,1.8,3.01,10.2,0,2,2,2,ASG
9,10,John Gibson,25.0,ANA,G,58,57,26,22,8,153,1838,1685,0.917,2.84,2,3233:02,34,0.596,8,92.0,12.7,3.03,11.6,0,0,0,2,ASGASnhl-8Vezina-10
10,11,Pekka Rinne,36.0,NSH,G,56,55,30,19,4,130,1581,1451,0.918,2.42,4,3219:44,30,0.545,7,91.0,12.5,2.57,10.1,0,0,0,4,ASGASnhl-10Vezina-7
11,12,Jimmy Howard,34.0,DET,G,55,52,23,22,5,156,1709,1553,0.909,3.07,0,3052:33,30,0.577,6,101.0,-2.0,3.28,9.3,0,1,1,2,ASG
12,13,Mikko Koskinen,30.0,EDM,G,55,51,25,21,6,146,1551,1405,0.906,2.93,4,2991:51,24,0.471,8,104.0,-6.2,3.13,8.0,0,2,2,2,
13,14,Darcy Kuemper,28.0,ARI,G,55,55,27,20,8,126,1677,1551,0.925,2.33,5,3251:15,36,0.655,6,83.0,25.1,2.47,12.0,0,2,2,14,ASnhl-6Hart-22Vezina-5
14,15,Andrei Vasilevskiy,24.0,TBL,G,53,53,39,10,4,128,1713,1585,0.925,2.4,6,3203:45,34,0.642,7,83.0,26.4,2.55,12.4,0,3,3,6,ASGASnhl-1Hart-22Vezina-1
15,16,Henrik Lundqvist,36.0,NYR,G,52,52,18,23,10,158,1699,1541,0.907,3.07,0,3088:53,30,0.577,7,103.0,-4.9,3.28,9.0,0,3,3,0,ASG
16,17,Craig Anderson,37.0,OTT,G,50,47,17,27,4,163,1676,1513,0.903,3.51,2,2785:11,19,0.404,8,108.0,-11.9,3.77,8.1,0,2,2,0,
17,18,Carter Hutton,33.0,BUF,G,50,48,18,25,5,142,1541,1399,0.908,3.0,0,2839:37,25,0.521,5,102.0,-3.1,3.21,8.3,0,1,1,2,
18,19,Matt Murray,24.0,PIT,G,50,50,29,14,6,129,1594,1465,0.919,2.69,4,2880:14,29,0.58,10,90.0,14.7,2.85,10.4,0,0,0,4,
19,20,Semyon Varlamov,30.0,COL,G,49,49,20,19,9,136,1496,1360,0.909,2.87,2,2839:12,25,0.51,9,101.0,-1.2,3.06,8.2,0,0,0,2,
20,21,Jake Allen,28.0,STL,G,46,45,19,17,8,121,1277,1156,0.905,2.83,3,2567:57,25,0.556,11,105.0,-5.9,3.01,6.5,0,0,0,0,
21,22,Ben Bishop,32.0,DAL,G,46,45,27,15,2,87,1323,1236,0.934,1.98,7,2637:18,31,0.689,1,73.0,32.2,2.09,10.8,0,2,2,2,ASnhl-2Hart-19Vezina-2
