Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,-9999
1,Justin Abdelkader,32,DET,LW,49,348,439,44.2,-1.9,267,316,45.8,0.0,3.2,91.3,94.6,43.3,56.7,11:32,9:48,10,18,-5.5,76,52.6,abdelju01
2,Pontus Åberg,26,TOR,LW,5,31,50,38.3,-18.2,19,40,32.2,-22.4,9.1,96.2,105.2,60.0,40.0,8:42,8:42,1,2,-1.0,5,80.0,abergpo01
3,Vitaly Abramov,21,OTT,RW,2,11,17,39.3,-14.7,9,12,42.9,-11.8,16.7,87.5,104.2,33.3,66.7,5:47,5:47,0,1,-0.3,4,75.0,abramvi01
4,Noel Acciari,28,FLA,C,66,790,894,46.9,-3.5,590,639,48.0,-2.5,10.1,90.6,100.7,38.6,61.4,15:57,13:08,32,21,-7.0,189,57.1,acciano01
5,Andrew Agozzino,29,TOT,LW,22,127,104,55.0,8.0,92,77,54.4,7.4,11.7,93.5,105.2,53.4,46.6,7:21,6:49,5,4,-0.4,,,agozzan01
5,Andrew Agozzino,29,PIT,LW,17,81,65,55.5,8.2,59,49,54.6,7.1,9.8,90.7,100.5,52.8,47.2,6:36,6:09,4,2,-0.8,12,66.7,agozzan01
5,Andrew Agozzino,29,ANA,LW,5,46,39,54.1,8.2,33,28,54.1,8.9,15.8,100.0,115.8,55.0,45.0,9:56,9:07,1,2,0.4,6,33.3,agozzan01
6,Sebastian Aho,22,CAR,F,68,1093,830,56.8,3.8,827,664,55.5,2.8,10.3,88.1,98.4,58.5,41.5,19:25,14:40,71,58,10.1,333,61.9,ahose01
7,Karl Alzner,31,MTL,D,4,41,31,56.9,0.4,26,23,53.1,-1.8,5.6,88.2,93.8,55.6,44.4,13:55,13:11,0,1,0.8,6,66.7,alzneka01
8,Michael Amadio,23,LAK,C,68,801,664,54.7,1.8,607,514,54.1,1.6,6.6,89.4,96.0,50.2,49.8,13:01,11:24,31,25,4.0,164,60.4,amadimi01
9,Joey Anderson,21,NJD,RW,18,148,215,40.8,-0.9,115,154,42.8,0.6,9.8,92.5,102.3,39.2,60.8,13:13,11:08,4,7,0.0,39,53.8,anderjo08
10,Josh Anderson,25,CBJ,RW,26,297,330,47.4,-2.7,230,238,49.1,-3.7,6.5,89.2,95.7,53.6,46.4,16:04,12:25,9,12,-0.7,98,64.3,anderjo05
11,Michael Anderson,20,LAK,D,6,82,111,42.5,-6.1,63,75,45.7,-0.7,14.9,96.0,110.9,42.6,57.4,18:09,16:46,0,2,0.3,16,56.3,andermi02
12,Jaret Anderson-Dolan,20,LAK,C,4,35,31,53.0,-2.8,28,26,51.9,-4.1,0.0,94.1,94.1,60.0,40.0,10:16,10:03,0,2,-1.4,3,66.7,anderja01
