Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,-9999
1,Vitaly Abramov,22,OTT,RW,2,14,18,43.8,-2.8,8,14,36.4,-11.6,0.0,100.0,100.0,0.0,100.0,9:43,9:43,0,0,0.1,2,0.0,abramvi01
2,Noel Acciari,29,FLA,C,41,430,474,47.6,-7.2,330,357,48.0,-7.0,6.7,93.0,99.8,31.6,68.4,15:24,12:13,17,11,3.6,102,66.7,acciano01
3,Calen Addison,20,MIN,D,3,44,48,47.8,0.8,34,40,45.9,-1.7,12.0,91.7,103.7,75.9,24.1,18:31,15:46,0,0,0.8,6,66.7,addisca01
4,Kenny Agostino,28,TOR,LW,1,3,1,75.0,12.3,3,1,75.0,15.7,0.0,100.0,100.0,0.0,100.0,4:08,4:08,0,0,0.1,0,,agostke01
5,Andrew Agozzino,30,ANA,LW,3,32,37,46.4,6.4,22,24,47.8,11.3,7.1,93.8,100.9,47.6,52.4,12:11,11:55,0,1,0.2,5,60.0,agozzan01
6,Jack Ahcan,23,BOS,D,3,43,61,41.3,-10.7,38,49,43.7,-10.1,0.0,90.0,90.0,72.4,27.6,20:38,18:11,0,0,-0.3,7,71.4,ahcanja01
7,Sebastian Aho,23,CAR,F,56,867,667,56.5,4.0,651,506,56.3,4.2,10.3,91.3,101.7,56.1,43.9,19:28,14:49,33,61,4.7,251,59.0,ahose01
8,Sebastian Aho,24,NYI,D,3,36,48,42.9,-12.2,27,40,40.3,-15.2,11.1,88.0,99.1,44.4,55.6,13:21,13:16,0,3,0.2,8,50.0,ahose02
9,Frédéric Allard,23,NSH,D,1,11,11,50.0,-6.3,11,7,61.1,2.6,0.0,60.0,60.0,50.0,50.0,16:59,16:59,0,0,0.3,0,,allarfr01
10,Wade Allison,23,PHI,RW,14,146,123,54.3,2.1,104,93,52.8,1.4,7.2,91.9,99.2,51.9,48.1,12:56,11:12,6,3,2.7,39,61.5,alliswa01
11,Olle Alsing,24,OTT,D,4,30,39,43.5,-2.2,20,33,37.7,-9.0,11.1,92.9,104.0,60.9,39.1,10:50,10:49,1,2,-1.2,3,33.3,alsinol01
12,Mark Alt,29,LAK,D,2,15,21,41.7,2.3,12,17,41.4,-0.4,0.0,100.0,100.0,60.0,40.0,13:35,12:09,0,0,-1.7,4,75.0,altma01
13,Michael Amadio,24,TOT,C,25,237,269,46.8,-0.1,177,206,46.2,-1.3,5.8,93.0,98.8,56.0,44.0,12:33,11:05,3,8,-3.6,,,amadimi01
